rate,stage,metric,n_runs,source,point_ms,ci_lo_ms,ci_hi_ms
PP_112.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_112.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_112.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_128.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.027
PP_128.0x,feature_extraction,P95,3,phase_b_offline,0.045,0.043,0.047
PP_128.0x,feature_extraction,P99,3,phase_b_offline,0.054,0.053,0.055
PP_128.0x,rf_predict,P50,3,phase_b_offline,21.165,21.16,21.17
PP_128.0x,rf_predict,P95,3,phase_b_offline,21.359,21.35,21.365
PP_128.0x,rf_predict,P99,3,phase_b_offline,21.518,21.505,21.538
PP_128.0x,detector_total,P50,3,phase_b_offline,21.194,21.189,21.2
PP_128.0x,detector_total,P95,3,phase_b_offline,21.39,21.38,21.398
PP_128.0x,detector_total,P99,3,phase_b_offline,21.553,21.539,21.578
PP_128.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_128.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_128.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_128.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_128.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_128.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_16.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.026,0.027
PP_16.0x,feature_extraction,P95,3,phase_b_offline,0.044,0.042,0.045
PP_16.0x,feature_extraction,P99,3,phase_b_offline,0.054,0.053,0.055
PP_16.0x,rf_predict,P50,3,phase_b_offline,21.159,21.155,21.164
PP_16.0x,rf_predict,P95,3,phase_b_offline,21.35,21.342,21.352
PP_16.0x,rf_predict,P99,3,phase_b_offline,21.497,21.486,21.513
PP_16.0x,detector_total,P50,3,phase_b_offline,21.188,21.184,21.194
PP_16.0x,detector_total,P95,3,phase_b_offline,21.381,21.375,21.384
PP_16.0x,detector_total,P99,3,phase_b_offline,21.535,21.517,21.551
PP_16.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_16.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_16.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_16.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_16.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_16.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_2.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.027
PP_2.0x,feature_extraction,P95,3,phase_b_offline,0.043,0.043,0.044
PP_2.0x,feature_extraction,P99,3,phase_b_offline,0.055,0.053,0.056
PP_2.0x,rf_predict,P50,3,phase_b_offline,21.155,21.154,21.156
PP_2.0x,rf_predict,P95,3,phase_b_offline,21.343,21.337,21.345
PP_2.0x,rf_predict,P99,3,phase_b_offline,21.501,21.485,21.511
PP_2.0x,detector_total,P50,3,phase_b_offline,21.185,21.184,21.186
PP_2.0x,detector_total,P95,3,phase_b_offline,21.374,21.367,21.377
PP_2.0x,detector_total,P99,3,phase_b_offline,21.533,21.524,21.548
PP_2.0x,pa_feature_extraction,P50,3,phase_a_live,0.034,0.033,0.034
PP_2.0x,pa_feature_extraction,P95,3,phase_a_live,0.055,0.055,0.058
PP_2.0x,pa_feature_extraction,P99,3,phase_a_live,0.119,0.119,0.222
PP_2.0x,pa_rf_predict,P50,3,phase_a_live,21.462,21.439,21.486
PP_2.0x,pa_rf_predict,P95,3,phase_a_live,22.32,22.217,22.335
PP_2.0x,pa_rf_predict,P99,3,phase_a_live,32.444,32.434,32.743
PP_32.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.027
PP_32.0x,feature_extraction,P95,3,phase_b_offline,0.046,0.045,0.046
PP_32.0x,feature_extraction,P99,3,phase_b_offline,0.054,0.053,0.054
PP_32.0x,rf_predict,P50,3,phase_b_offline,21.161,21.155,21.165
PP_32.0x,rf_predict,P95,3,phase_b_offline,21.353,21.335,21.369
PP_32.0x,rf_predict,P99,3,phase_b_offline,21.516,21.487,21.542
PP_32.0x,detector_total,P50,3,phase_b_offline,21.191,21.184,21.195
PP_32.0x,detector_total,P95,3,phase_b_offline,21.385,21.366,21.399
PP_32.0x,detector_total,P99,3,phase_b_offline,21.553,21.524,21.573
PP_32.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_32.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_32.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_32.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_32.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_32.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_4.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.027
PP_4.0x,feature_extraction,P95,3,phase_b_offline,0.047,0.045,0.049
PP_4.0x,feature_extraction,P99,3,phase_b_offline,0.056,0.054,0.058
PP_4.0x,rf_predict,P50,3,phase_b_offline,21.168,21.16,21.177
PP_4.0x,rf_predict,P95,3,phase_b_offline,21.363,21.35,21.382
PP_4.0x,rf_predict,P99,3,phase_b_offline,21.53,21.5,21.568
PP_4.0x,detector_total,P50,3,phase_b_offline,21.198,21.19,21.206
PP_4.0x,detector_total,P95,3,phase_b_offline,21.396,21.381,21.413
PP_4.0x,detector_total,P99,3,phase_b_offline,21.568,21.537,21.608
PP_4.0x,pa_feature_extraction,P50,3,phase_a_live,0.031,0.03,0.032
PP_4.0x,pa_feature_extraction,P95,3,phase_a_live,0.057,0.055,0.059
PP_4.0x,pa_feature_extraction,P99,3,phase_a_live,0.118,0.102,0.25
PP_4.0x,pa_rf_predict,P50,3,phase_a_live,21.376,21.309,21.448
PP_4.0x,pa_rf_predict,P95,3,phase_a_live,22.802,22.329,32.361
PP_4.0x,pa_rf_predict,P99,3,phase_a_live,32.59,25.471,33.132
PP_64.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.026,0.028
PP_64.0x,feature_extraction,P95,3,phase_b_offline,0.043,0.04,0.044
PP_64.0x,feature_extraction,P99,3,phase_b_offline,0.053,0.052,0.054
PP_64.0x,rf_predict,P50,3,phase_b_offline,21.159,21.153,21.169
PP_64.0x,rf_predict,P95,3,phase_b_offline,21.35,21.342,21.36
PP_64.0x,rf_predict,P99,3,phase_b_offline,21.503,21.499,21.508
PP_64.0x,detector_total,P50,3,phase_b_offline,21.189,21.182,21.2
PP_64.0x,detector_total,P95,3,phase_b_offline,21.381,21.372,21.394
PP_64.0x,detector_total,P99,3,phase_b_offline,21.542,21.538,21.547
PP_64.0x,pa_feature_extraction,P50,3,phase_a_live,NA,NA,NA
PP_64.0x,pa_feature_extraction,P95,3,phase_a_live,NA,NA,NA
PP_64.0x,pa_feature_extraction,P99,3,phase_a_live,NA,NA,NA
PP_64.0x,pa_rf_predict,P50,3,phase_a_live,NA,NA,NA
PP_64.0x,pa_rf_predict,P95,3,phase_a_live,NA,NA,NA
PP_64.0x,pa_rf_predict,P99,3,phase_a_live,NA,NA,NA
PP_8.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.026,0.028
PP_8.0x,feature_extraction,P95,3,phase_b_offline,0.042,0.038,0.044
PP_8.0x,feature_extraction,P99,3,phase_b_offline,0.052,0.05,0.053
PP_8.0x,rf_predict,P50,3,phase_b_offline,21.164,21.149,21.19
PP_8.0x,rf_predict,P95,3,phase_b_offline,21.422,21.33,21.611
PP_8.0x,rf_predict,P99,3,phase_b_offline,22.09,21.469,23.229
PP_8.0x,detector_total,P50,3,phase_b_offline,21.193,21.178,21.221
PP_8.0x,detector_total,P95,3,phase_b_offline,21.456,21.362,21.648
PP_8.0x,detector_total,P99,3,phase_b_offline,22.124,21.507,23.273
PP_8.0x,pa_feature_extraction,P50,3,phase_a_live,0.047,0.042,0.115
PP_8.0x,pa_feature_extraction,P95,3,phase_a_live,0.225,0.109,0.225
PP_8.0x,pa_feature_extraction,P99,3,phase_a_live,0.225,0.109,0.225
PP_8.0x,pa_rf_predict,P50,3,phase_a_live,21.527,21.508,25.767
PP_8.0x,pa_rf_predict,P95,3,phase_a_live,31.172,25.637,31.172
PP_8.0x,pa_rf_predict,P99,3,phase_a_live,31.172,25.637,31.172
PP_96.0x,feature_extraction,P50,3,phase_b_offline,0.027,0.027,0.027
PP_96.0x,feature_extraction,P95,3,phase_b_offline,0.046,0.043,0.048
PP_96.0x,feature_extraction,P99,3,phase_b_offline,0.055,0.054,0.056
PP_96.0x,rf_predict,P50,3,phase_b_offline,21.163,21.161,21.167
PP_96.0x,rf_predict,P95,3,phase_b_offline,21.355,21.353,21.361
PP_96.0x,rf_predict,P99,3,phase_b_offline,21.516,21.496,21.547
